time,lat,lat,U,V
239340.0,20.0,120.00000762939452,-5.817298,1.3768653999999998
239346.0,20.0,120.00000762939452,-2.0747032,3.8482027000000003
239352.0,20.0,120.00000762939452,2.6600776,2.5113467999999997
239358.0,20.0,120.00000762939452,5.251359,-0.853982
239364.0,20.0,120.00000762939452,3.4480437999999993,-0.3278718
239370.0,20.0,120.00000762939452,3.5559912000000002,-1.1514425
239376.0,20.0,120.00000762939452,2.0674143,-0.37874222
239382.0,20.0,120.00000762939452,1.7161903000000003,-1.8569784
239388.0,20.0,120.00000762939452,-0.97716665,-0.94892406
239394.0,20.0,120.00000762939452,-1.1329373999999999,-2.0825615
239400.0,20.0,120.00000762939452,-3.105546,-1.101984
239406.0,20.0,120.00000762939452,-2.948985,-1.6873436000000002
239412.0,20.0,120.00000762939452,-4.511218,-4.0599870000000005
239418.0,20.0,120.00000762939452,-5.557563,-3.255103
239424.0,20.0,120.00000762939452,-6.342291,-1.0428162
239430.0,20.0,120.00000762939452,-4.763626,0.75535876
239436.0,20.0,120.00000762939452,-4.523082700000001,-0.5309568
239442.0,20.0,120.00000762939452,-3.1641226000000002,1.4704866
239448.0,20.0,120.00000762939452,0.2255556,1.4702291
239454.0,20.0,120.00000762939452,3.1195487999999996,-1.9892302
239460.0,20.0,120.00000762939452,1.5134754,-1.8628798
239466.0,20.0,120.00000762939452,1.3601798999999999,-1.5330466999999999
239472.0,20.0,120.00000762939452,0.58512014,-0.8294363000000001
239478.0,20.0,120.00000762939452,0.9894837,-1.1559086
239484.0,20.0,120.00000762939452,-0.3792566,-1.7629279999999998
239490.0,20.0,120.00000762939452,0.37818825,-3.2018852000000004
239496.0,20.0,120.00000762939452,-2.9517279,1.0136409
239502.0,20.0,120.00000762939452,0.9029697,-1.0878649
239508.0,20.0,120.00000762939452,1.947259,-2.1583672000000003
239514.0,20.0,120.00000762939452,0.7019986,-0.72289276
239520.0,20.0,120.00000762939452,1.7099657,-1.18326
239526.0,20.0,120.00000762939452,1.4319696000000002,-1.3088226
239532.0,20.0,120.00000762939452,0.7876619,-2.4963627
239538.0,20.0,120.00000762939452,0.18599701,-0.03027935
239544.0,20.0,120.00000762939452,-0.19355816,1.043412
239550.0,20.0,120.00000762939452,0.44810033,1.041175
239556.0,20.0,120.00000762939452,-0.5733404000000001,0.84765023
239562.0,20.0,120.00000762939452,2.2177944,-1.8062162
239568.0,20.0,120.00000762939452,2.0131903,1.0261664000000001
239574.0,20.0,120.00000762939452,4.00966,0.43913418
239580.0,20.0,120.00000762939452,2.6010046,-0.036757946
239586.0,20.0,120.00000762939452,3.3456992999999997,0.47267872
239592.0,20.0,120.00000762939452,3.2902918,-0.15339094
239598.0,20.0,120.00000762939452,3.3954706,-1.6289701
239604.0,20.0,120.00000762939452,2.427556,-3.5239705999999997
239610.0,20.0,120.00000762939452,-0.21194619,-5.193676
239616.0,20.0,120.00000762939452,-3.2399014999999998,-1.0606985
239622.0,20.0,120.00000762939452,-3.6422120000000002,-2.970932
239628.0,20.0,120.00000762939452,-8.226339999999999,-2.1190796
